symbol,date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
CHK,2019-12-12,0.7500,0.8000,0.7484,0.7826,0.7826,66274521,0.0000,1.0000
CHK,2019-12-11,0.7833,0.7874,0.7200,0.7451,0.7451,48932341,0.0000,1.0000
CHK,2019-12-10,0.8042,0.8480,0.7600,0.7752,0.7752,83978545,0.0000,1.0000
CHK,2019-12-09,0.7570,0.7944,0.7440,0.7896,0.7896,60127555,0.0000,1.0000
CHK,2019-12-06,0.7257,0.7686,0.7211,0.7601,0.7601,66148145,0.0000,1.0000
CHK,2019-12-05,0.7600,0.8050,0.7000,0.7194,0.7194,122388880,0.0000,1.0000
CHK,2019-12-04,0.7028,0.7527,0.6881,0.7430,0.7430,155398155,0.0000,1.0000
CHK,2019-12-03,0.5977,0.6500,0.5850,0.6375,0.6375,67465709,0.0000,1.0000
CHK,2019-12-02,0.5980,0.6188,0.5900,0.6064,0.6064,47131576,0.0000,1.0000
CHK,2019-11-29,0.6059,0.6184,0.5820,0.5953,0.5953,35883121,0.0000,1.0000
CHK,2019-11-27,0.5950,0.6300,0.5862,0.6190,0.6190,61886784,0.0000,1.0000
CHK,2019-11-26,0.6032,0.6370,0.5810,0.5961,0.5961,96929293,0.0000,1.0000
CHK,2019-11-25,0.5800,0.5900,0.5714,0.5800,0.5800,71625083,0.0000,1.0000
CHK,2019-11-22,0.5900,0.5989,0.5800,0.5888,0.5888,55785551,0.0000,1.0000
CHK,2019-11-21,0.5750,0.6000,0.5600,0.5781,0.5781,67911305,0.0000,1.0000
CHK,2019-11-20,0.5650,0.5988,0.5500,0.5705,0.5705,106817719,0.0000,1.0000
CHK,2019-11-19,0.6382,0.6420,0.5505,0.5557,0.5557,116828292,0.0000,1.0000
CHK,2019-11-18,0.6900,0.6949,0.6300,0.6436,0.6436,94615022,0.0000,1.0000
CHK,2019-11-15,0.6972,0.7145,0.6850,0.7004,0.7004,80252982,0.0000,1.0000
CHK,2019-11-14,0.7100,0.7257,0.6710,0.6900,0.6900,89985624,0.0000,1.0000
CHK,2019-11-13,0.7991,0.8000,0.6900,0.7018,0.7018,179394967,0.0000,1.0000
CHK,2019-11-12,0.8150,0.8150,0.6359,0.6698,0.6698,175106745,0.0000,1.0000
CHK,2019-11-11,0.9000,0.9050,0.8076,0.8077,0.8077,87209894,0.0000,1.0000
CHK,2019-11-08,0.9250,0.9466,0.9000,0.9000,0.9000,69092941,0.0000,1.0000
CHK,2019-11-07,0.9698,0.9759,0.8900,0.9063,0.9063,119988088,0.0000,1.0000
